id,station_id,time_id,date,hour,passenger_count
1,1,1,2025-03-01,0,530
2,2,1,2025-03-01,0,401
3,3,1,2025-03-01,0,1175
4,4,1,2025-03-01,0,312
5,5,1,2025-03-01,0,675
6,6,1,2025-03-01,0,435
7,7,1,2025-03-01,0,331
8,8,1,2025-03-01,0,333
9,9,1,2025-03-01,0,335
10,10,1,2025-03-01,0,311
11,11,1,2025-03-01,0,1618
12,12,1,2025-03-01,0,698
13,13,1,2025-03-01,0,1621
14,14,1,2025-03-01,0,914
15,15,1,2025-03-01,0,1003
16,16,1,2025-03-01,0,1661
17,17,1,2025-03-01,0,2199
18,18,1,2025-03-01,0,1835
19,19,1,2025-03-01,0,2111
20,20,1,2025-03-01,0,2329
21,21,1,2025-03-01,0,1836
22,22,1,2025-03-01,0,179
23,23,1,2025-03-01,0,968
24,24,1,2025-03-01,0,1009
25,25,1,2025-03-01,0,290
26,26,1,2025-03-01,0,638
27,27,1,2025-03-01,0,823
28,28,1,2025-03-01,0,743
29,29,1,2025-03-01,0,1390
30,30,1,2025-03-01,0,682
31,31,1,2025-03-01,0,954
32,32,1,2025-03-01,0,1205
33,33,1,2025-03-01,0,1532
34,34,1,2025-03-01,0,819
35,35,1,2025-03-01,0,730
36,36,1,2025-03-01,0,1257
37,37,1,2025-03-01,0,1388
38,38,1,2025-03-01,0,3958
39,39,1,2025-03-01,0,819
40,40,1,2025-03-01,0,2923
41,41,1,2025-03-01,0,2097
42,42,1,2025-03-01,0,1995
43,43,1,2025-03-01,0,992
44,44,1,2025-03-01,0,1599
45,45,1,2025-03-01,0,491
46,46,1,2025-03-01,0,605
47,47,1,2025-03-01,0,491
48,48,1,2025-03-01,0,1901
49,49,1,2025-03-01,0,2623
50,50,1,2025-03-01,0,2800
51,51,1,2025-03-01,0,930
52,52,1,2025-03-01,0,1178
53,53,1,2025-03-01,0,850
54,54,1,2025-03-01,0,894
55,55,1,2025-03-01,0,1897
56,56,1,2025-03-01,0,977
57,57,1,2025-03-01,0,1324
58,58,1,2025-03-01,0,1326
59,59,1,2025-03-01,0,367
60,60,1,2025-03-01,0,1320
61,61,1,2025-03-01,0,1411
62,62,1,2025-03-01,0,792
63,63,1,2025-03-01,0,871
64,64,1,2025-03-01,0,1521
65,65,1,2025-03-01,0,1170
66,66,1,2025-03-01,0,2091
67,67,1,2025-03-01,0,1481
68,68,1,2025-03-01,0,1233
69,69,1,2025-03-01,0,877
70,70,1,2025-03-01,0,1106
71,71,1,2025-03-01,0,1428
72,72,1,2025-03-01,0,918
73,73,1,2025-03-01,0,803
74,74,1,2025-03-01,0,641
75,75,1,2025-03-01,0,1047
76,76,1,2025-03-01,0,1390
77,77,1,2025-03-01,0,6347
78,78,1,2025-03-01,0,9742
79,79,1,2025-03-01,0,5047
80,80,1,2025-03-01,0,5678
81,1,2,2025-03-01,1,672
82,2,2,2025-03-01,1,462
83,3,2,2025-03-01,1,1058
84,4,2,2025-03-01,1,196
85,5,2,2025-03-01,1,171
86,6,2,2025-03-01,1,273
87,7,2,2025-03-01,1,371
88,8,2,2025-03-01,1,204
89,9,2,2025-03-01,1,298
90,10,2,2025-03-01,1,258
91,11,2,2025-03-01,1,2023
92,12,2,2025-03-01,1,1036
93,13,2,2025-03-01,1,1481
94,14,2,2025-03-01,1,698
95,15,2,2025-03-01,1,1169
